"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date","latitude","longitude","unit_count","Units_used","Pred_Unit_Rent","GPR_Monthly","EGI_Monthly","EGI_Annual","Expense_Size_Band","Expense_Size_Multiplier","Est_Expense_per_Unit_Annual","Annual_Expenses_Total","NOI_Monthly","NOI_Annual","Price_Used","Cap_Rate","Cap_Rate_Pct","Vacancy_Assumed","Benchmark_Base_perUnit_Annual","Benchmark_Notes","Baths","year","month_num","quarter_3m","GRM"
NA,4,"IG18242756MR",1795,"INC","S","594  N Campus AVE ","UPLAND",NA,"3.00 (0 0 0 0)",2038,"$279.69",570000,435000,"$0.00","6,980",1940,53,2,2019-01-30,34.1014108,-117.6414187,NA,2,1629.28,3258.56,3095.632,37147.584,"<50",1.18,10030,20060,1423.96533333333,17087.584,435000,0.0392818022988506,3.92818022988506,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2019,1,1,11.7100482227862
NA,22,"IG18254619MR",1543,"INC","S","1006   E ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1674,"$265.83",445000,440000,"","8,845",1956,45,2,2019-02-18,NA,NA,NA,2,1565.94,3131.88,2975.286,35703.432,"<50",1.18,10030,20060,1303.61933333333,15643.432,440000,0.0355532545454545,3.55532545454545,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,2,1,12.323745235472
NA,8,"IG19206789MR",1543,"INC","S","3221   Triumph LN #4","ONTARIO",NA,"6.00 (0 0 0 0)",3989,"$323.39",1290000,1125300,"$36.00","11,324",1987,156,4,2020-03-31,34.0715923,-117.5823196,NA,4,1859.62,7438.48,7066.556,84798.672,"<50",1.18,10030,40120,3723.22266666667,44678.672,1125300,0.0397037874344619,3.97037874344619,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2020,3,1,13.2702549870121
NA,1,"IN18106203MR",469,"INC","S","565  N Gordon ST ","POMONA",NA,"2.00 (0 0 0 0)",1431,"$245.98",352000,350000,"","7,142",1902,176,2,2019-01-15,34.0630641,-117.7536025,NA,2,1560.1,3120.2,2964.19,35570.28,"<50",1.18,10030,20060,1292.52333333333,15510.28,350000,0.0443150857142857,4.43150857142857,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,1,1,9.83967514453077
NA,4,"IV17247651MR",469,"INC","S","1760   Cordova ST ","POMONA",NA,"2.00 (0 0 0 0)",4350,"$205.75",895000,842500,"","8,187",1959,7,6,2018-03-26,34.0766003,-117.7204033,NA,6,1573.32,9439.92,8967.924,107615.088,"<50",1.18,10030,60180,3952.924,47435.088,842500,0.056302775074184,5.6302775074184,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,3,1,7.82882786844908
NA,13,"IV17249487MR",469,"INC","S","1057  S Thomas ST ","POMONA",NA,"4.00 (0 0 0 0)",2272,"$263.64",599000,560500,"","7,880",1989,55,2,2018-02-22,34.0500384,-117.751047,NA,2,1972.22,3944.44,3747.218,44966.616,"<50",1.18,10030,20060,2075.55133333333,24906.616,560500,0.0444364246208742,4.44364246208742,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2018,2,1,12.4648027772426
NA,19,"IV17274231MR",1543,"INC","S","410  W 6th ST ","ONTARIO",NA," (0 0 0 0)",4290,"$145.69",625000,610000,"","11,400",1973,152,0,2018-06-08,34.0852767,-117.6552283,NA,1,1696.22,1696.22,1611.409,19336.908,"<50",1.18,10030,10030,775.575666666667,9306.908,610000,0.0152572262295082,1.52572262295082,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2018,6,2,31.545891411388
NA,8,"IV18022370MR",1543,"INC","S","212  E Sunkist ST #A & B","ONTARIO",NA,"2.00 (0 0 0 0)",1280,"$320.31",409999,400000,"","7,200",1928,44,2,2018-05-21,34.0578321,-117.6493138,NA,2,1539.42,3078.84,2924.898,35098.776,"<50",1.18,10030,20060,1253.23133333333,15038.776,400000,0.03759694,3.759694,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,5,2,11.3964088092417
NA,2,"IV18045641MR",469,"INC","S","11399   Wesley AVE ","POMONA",NA,"2.00 (0 0 0 0)",1696,"$271.23",460000,460000,"","7,560",1965,0,3,2018-02-27,NA,NA,NA,3,1515.77,4547.31,4319.9445,51839.334,"<50",1.18,10030,30090,1812.4445,21749.334,460000,0.0472811608695652,4.72811608695652,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,2,1,8.87357079085931
NA,4,"IV18054707MR",1795,"INC","S","448   Fairwood WAY ","UPLAND",NA,"8.00 (0 0 0 0)",4028,"$248.01",999000,900000,"$0.00","9,065",1964,63,4,2018-06-15,34.0990172,-117.6763594,NA,4,1599.59,6398.36,6078.442,72941.304,"<50",1.18,10030,40120,2735.10866666667,32821.304,900000,0.0364681155555555,3.64681155555555,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2018,6,2,12.3386881046163
NA,33,"IV18058514MR",1543,"INC","S","2137   Magnolia AVE ","ONTARIO",NA,"1.00 (0 0 0 0)",918,"$310.46",285000,278000,"$265.00","918",1973,34,1,2018-05-04,34.0350132,-117.6719316,NA,1,1820.11,1820.11,1729.1045,20749.254,"<50",1.18,10030,10030,893.271166666667,10719.254,278000,0.0385584676258993,3.85584676258993,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",1,2018,5,2,13.3980720463492
NA,3,"IV18069263MR",469,"INC","S","138  E Alvarado ST ","POMONA",NA,"2.00 (0 0 0 0)",2307,"$234.07",540000,505000,"","8,268",1938,53,3,2018-06-11,34.0676297,-117.7511803,NA,3,1576.63,4729.89,4493.3955,53920.746,"<50",1.18,10030,30090,1985.8955,23830.746,505000,0.047189596039604,4.7189596039604,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,6,2,9.36559742700889
NA,2,"IV18069653MR",469,"INC","S","142  E Alvarado ST ","POMONA",NA,"2.00 (0 0 0 0)",2181,"$236.13",515000,505000,"","8,605",1952,53,3,2018-06-11,34.0676293,-117.751108,NA,3,1542.43,4627.29,4395.9255,52751.106,"<50",1.18,10030,30090,1888.4255,22661.106,505000,0.0448734772277228,4.48734772277228,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,6,2,9.57325899479719
NA,8,"IV18079849MR",1543,"INC","S","630  E E ST ","ONTARIO",NA,"1.00 (0 0 0 0)",824,"$625",515000,510000,"","3,542",1954,10,0,2018-05-11,34.0681683,-117.6429602,NA,1,1636.63,1636.63,1554.7985,18657.582,"<50",1.18,10030,10030,718.965166666667,8627.582,510000,0.0169168274509804,1.69168274509804,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",1,2018,5,2,27.3347317996512
NA,22,"IV18099082MR",1543,"INC","S","812  E E ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1624,"$255.54",415000,406000,"","8,673",1951,68,2,2018-07-23,34.0681789,-117.6386416,NA,2,1526.27,3052.54,2899.913,34798.956,"<50",1.18,10030,20060,1228.24633333333,14738.956,406000,0.0363028472906404,3.63028472906404,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,7,3,11.667016677167
NA,12,"IV18120281MR",469,"INC","S","657  E Jefferson AVE ","POMONA",NA,"2.00 (0 0 0 0)",1718,"$319.56",549000,535000,"","6,302",1941,112,2,2018-12-12,34.0695881,-117.7401457,NA,2,1573.84,3147.68,2990.296,35883.552,"<50",1.18,10030,20060,1318.62933333333,15823.552,535000,0.0295767327102804,2.95767327102804,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,12,4,14.9093378492742
NA,4,"IV18130114MR",1795,"INC","S","790   1st AVE ","UPLAND",NA,"2.00 (0 0 0 0)",1982,"$278.76",552500,552500,"","8,820",1926,39,2,2018-10-01,34.1031761,-117.6495884,NA,2,1624.37,3248.74,3086.303,37035.636,"<50",1.18,10030,20060,1414.63633333333,16975.636,552500,0.0307251330316742,3.07251330316742,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,10,4,14.9180643205371
NA,1,"IV18132426MR",1455,"INC","S","10376 & 10386  Fremont AVE ","MONTCLAIR",NA,"2.00 (0 0 0 0)",2080,"$240.38",500000,500000,"$0.00","8,255",1955,3,2,2018-07-13,NA,NA,NA,2,1615.02,3230.04,3068.538,36822.456,"<50",1.18,10030,20060,1396.87133333333,16762.456,500000,0.033524912,3.3524912,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,7,3,13.5786705807999
NA,16,"IV18144813MR",469,"INC","S","2378   Chanslor ST ","POMONA",NA,"5.00 (0 0 0 0)",3916,"$188.40",737777,730000,"$0.00","7,175",1964,21,4,2018-08-01,34.0279296,-117.7451499,NA,4,1684.16,6736.64,6399.808,76797.696,"<50",1.18,10030,40120,3056.47466666667,36677.696,730000,0.0502434191780822,5.02434191780822,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2018,8,3,9.50549349813828
NA,48,"IV18199557MR",1543,"INC","S","116  W Elm ST ","ONTARIO",NA,"1.00 (0 0 0 0)",1400,"$292.78",409888,400000,"","9,112",1965,22,2,2018-10-29,34.0466546,-117.6514098,NA,2,1567.54,3135.08,2978.326,35739.912,"<50",1.18,10030,20060,1306.65933333333,15679.912,400000,0.03919978,3.919978,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",1,2018,10,4,11.191969359074
NA,9,"IV18204285MR",1543,"INC","S","637  W Nevada ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1500,"$280.67",421000,415000,"","7,546",1960,21,2,2018-10-13,34.0567315,-117.6591551,NA,2,1538.93,3077.86,2923.967,35087.604,"<50",1.18,10030,20060,1252.30033333333,15027.604,415000,0.0362110939759036,3.62110939759036,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,10,4,11.8275388652927
NA,38,"IV18208094MR",1543,"INC","S","116  W Elm ST ","ONTARIO",2,"2.00 (2 0 0 0)",1400,"$292.78",409888,400000,"$0.00","9,112",1965,13,1,2018-10-29,34.0466546,-117.6514098,NA,1,1811.9,1811.9,1721.305,20655.66,"<50",1.18,10030,10030,885.471666666667,10625.66,400000,0.02656415,2.656415,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,10,4,19.3651522149377
NA,8,"IV18218253MR",469,"INC","S","631  E Pasadena ST ","POMONA",NA,"2.00 (0 0 0 0)",2250,"$200",450000,435000,"$0.00","8,425",1921,5,2,2018-11-01,34.0639755,-117.7279471,NA,2,1656.03,3312.06,3146.457,37757.484,"<50",1.18,10030,20060,1474.79033333333,17697.484,435000,0.0406838712643678,4.06838712643678,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2018,11,4,11.5208947714842
NA,8,"IV18238177MR",1543,"INC","S","1454  W Stoneridge CT ","ONTARIO",NA,"3.00 (0 0 0 0)",1980,"$277.22",548888,550000,"$158.00","13,320",1959,9,4,2018-11-16,34.0646378,-117.6779364,NA,4,1417.14,5668.56,5385.132,64621.584,"<50",1.18,10030,40120,2041.79866666667,24501.584,550000,0.0445483345454546,4.45483345454546,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2018,11,4,8.51108818378701
NA,2,"IV18239899MR",469,"INC","S","548  W Center ST ","POMONA",NA,"6.00 (0 0 0 0)",2716,"$194.96",529500,530000,"","9,335",1925,210,6,2019-07-03,34.0611745,-117.7578903,NA,6,1451.22,8707.32,8271.954,99263.448,"<50",1.18,10030,60180,3256.954,39083.448,530000,0.0737423547169811,7.37423547169811,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2019,7,3,5.33932691920998
NA,11,"IV18285184MR",1795,"INC","S","571   Richland ST ","UPLAND",NA,"2.00 (0 0 0 0)",16719,"$245.23",4100000,4000000,"","18,295",1965,203,18,2019-10-08,34.087897,-117.64339,NA,18,1584.53,28521.54,27095.463,325145.556,"<50",1.18,10030,180540,12050.463,144605.556,4000000,0.036151389,3.6151389,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,10,4,12.3021825954158
NA,16,"IV19001804MR",1543,"INC","S","403  W Park ST ","ONTARIO",NA,"4.00 (0 0 0 0)",2066,"$232.33",480000,530000,"","7,350",1923,17,4,2019-02-23,34.05889,-117.6548987,NA,4,1449.81,5799.24,5509.278,66111.336,"<50",1.18,10030,40120,2165.94466666667,25991.336,530000,0.0490402566037736,4.90402566037736,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2019,2,1,8.01677945216536
NA,2,"IV19005568MR",1543,"INC","S","1019 & 1021 S Cypress AVE ","ONTARIO",NA,"2.00 (0 0 0 0)",1416,"$317.80",450000,415000,"$0.00","6,250",1953,139,2,2019-05-31,34.0459354,-117.6634238,NA,2,1614.67,3229.34,3067.873,36814.476,"<50",1.18,10030,20060,1396.20633333333,16754.476,415000,0.0403722313253012,4.03722313253012,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,5,2,11.2727395603838
NA,2,"IV19005577MR",1543,"INC","S","1023 & 1025 S Cypress AVE ","ONTARIO",NA,"2.00 (0 0 0 0)",1416,"$317.80",450000,415000,"$0.00","6,250",1953,139,2,2019-05-31,34.0459354,-117.6634238,NA,2,1614.67,3229.34,3067.873,36814.476,"<50",1.18,10030,20060,1396.20633333333,16754.476,415000,0.0403722313253012,4.03722313253012,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,5,2,11.2727395603838
NA,15,"IV19027124MR",487,"INC","S","631   Harvard AVE ","CLAREMONT",NA,"6.00 (0 0 0 0)",4286,"$326.64",1400000,1350000,"$0.00","7,700",1964,16,3,2019-04-23,34.0999997,-117.7167758,NA,3,1984.79,5954.37,5656.6515,67879.818,"<50",1.18,10030,30090,3149.1515,37789.818,1350000,0.0279924577777778,2.79924577777778,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2019,4,2,19.8880910376041
NA,48,"IV19054122MR",1795,"INC","S","260  S 2nd AVE ","UPLAND",NA,"2.00 (0 0 0 0)",1617,"$303.03",489999,489999,"","7,500",1920,15,2,2019-04-30,34.0913963,-117.6484473,NA,2,1582.58,3165.16,3006.902,36082.824,"<50",1.18,10030,20060,1335.23533333333,16022.824,489999,0.0326997075504236,3.26997075504236,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,4,2,13.579840646619
NA,7,"IV19058582MR",1795,"INC","S","61  E 24th ST ","UPLAND",NA,"3.00 (0 0 0 0)",2660,"$262.74",698888,675000,"$0.00","13,848",1949,35,3,2019-06-19,34.1506566,-117.6506667,NA,3,1629.08,4887.24,4642.878,55714.536,"<50",1.18,10030,30090,2135.378,25624.536,675000,0.0379622755555555,3.79622755555555,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2019,6,2,12.1153301895936
NA,4,"IV19069883MR",469,"INC","S","458  W Monterey AVE ","POMONA",NA,"4.00 (0 0 0 0)",4256,"$152.73",650000,640000,"","6,779",1910,9,4,2019-05-16,34.0603216,-117.7560649,NA,4,1700.3,6801.2,6461.14,77533.68,"<50",1.18,10030,40120,3117.80666666667,37413.68,640000,0.058458875,5.8458875,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",4,2019,5,2,8.25447728006719
NA,17,"IV19088162MR",1795,"INC","S","1396  N 1st AVE ","UPLAND",NA,"3.00 (0 0 0 0)",2031,"$319.99",649900,650000,"","10,905",1955,15,4,2019-06-29,34.1140894,-117.6496924,NA,4,1507.75,6031,5729.45,68753.4,"<50",1.18,10030,40120,2386.11666666667,28633.4,650000,0.0440513846153846,4.40513846153846,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2019,6,2,9.45407790741985
